rsa,mode,layer,reference,size,level,run,input
0.10693733216733173,trained,codebook,word,1024,1,1,trigram
0.07246147497208678,random,codebook,phoneme,1024,1,1,trigram
0.024420880919096482,random,codebook,word,1024,1,1,trigram
0.2167992600474067,trained,codebook,phoneme,1024,1,2,complete
0.07571610636282053,trained,codebook,word,1024,1,2,complete
0.059366495331248346,random,codebook,phoneme,1024,1,2,complete
0.002157313157545432,random,codebook,word,1024,1,2,complete
0.13701720559651895,trained,codebook,phoneme,1024,1,2,trigram
0.10278557809882109,trained,codebook,word,1024,1,2,trigram
0.07093116342464444,random,codebook,phoneme,1024,1,2,trigram
0.023799917370304655,random,codebook,word,1024,1,2,trigram
0.30995800915246713,trained,codebook,phoneme,1024,2,0,complete
0.18112752014677214,trained,codebook,word,1024,2,0,complete
0.05349823932011958,random,codebook,phoneme,1024,2,0,complete
0.0020622928941164582,random,codebook,word,1024,2,0,complete
0.12419371682113615,trained,codebook,phoneme,1024,2,0,trigram
0.11126242210018442,trained,codebook,word,1024,2,0,trigram
0.0619281826666338,random,codebook,phoneme,1024,2,0,trigram
0.018974416252216242,random,codebook,word,1024,2,0,trigram
0.3069927469324391,trained,codebook,phoneme,1024,2,1,complete
0.18027525796379926,trained,codebook,word,1024,2,1,complete
0.037935978569145476,random,codebook,phoneme,1024,2,1,complete
0.0011632333872787313,random,codebook,word,1024,2,1,complete
0.12696278297433802,trained,codebook,phoneme,1024,2,1,trigram
0.11969794980850577,trained,codebook,word,1024,2,1,trigram
0.052069842275103376,random,codebook,phoneme,1024,2,1,trigram
0.016427371538756973,random,codebook,word,1024,2,1,trigram
0.3136590208638281,trained,codebook,phoneme,1024,2,2,complete
0.18264074636803654,trained,codebook,word,1024,2,2,complete
0.03882031196971211,random,codebook,phoneme,1024,2,2,complete
0.01034291833402467,random,codebook,word,1024,2,2,complete
0.1288049064661816,trained,codebook,phoneme,1024,2,2,trigram
0.12153837587046547,trained,codebook,word,1024,2,2,trigram
